COSTT4_A,MD_EARN_WNE_P10
10951,37865
37837,38412
5477,33755
15130,36444
12205,34231
14779,36337
75865,81400
82749,97800
10745,36142
23689,55146
12607,33267
18837,40026
59369,74545
11845,31861
16098,40144
11617,34139
48813,48039
16008,35386
34729,46566
55495,47590
18425,33934
11481,31644
13546,34770
18027,30672
61582,61389
13601,33325
12530,29307
34228,42680
12582,37310
45886,43415
15604,33866
57649,45543
28227,32600
36813,34818
48794,44781
11800,26016
14101,34663
16949,33035
55557,51539
53585,48050
15679,33298
14100,32742
45829,45151
35362,47139
11198,34912
19180,44440
21061,44030
25181,72200
22034,57289
19628,48160
25618,42968
25553,38357
25613,68758
48263,45873
25913,54967
14125,30005
49103,46643
16854,43407
46700,51562
16067,33274
15807,37259
56944,57673
15688,33336
15715,29951
31429,38342
11560,29324
15753,29036
10236,32480
14666,34936
30324,35730
47947,44640
14337,33409
18596,31656
29659,34409
49709,45606
14567,30284
14429,34145
12847,36686
14199,36012
22570,34241
14581,32232
13525,34304
82818,78158
16798,41769
53576,36260
11311,34148
15451,34195
10494,34728
13807,32973
57780,52649
18252,40672
22345,45344
19057,49458
24675,39080
15274,54277
20155,50720
36960,56621
15890,49502
13745,17008
32879,60909
21042,47828
18141,51759
24580,63552
16291,50513
17270,40576
23391,62203
18119,44017
9847,28488
29953,35604
14760,32079
12498,25292
20713,52725
20701,34017
26588,36909
24555,46600
16603,46600
13885,37453
48176,34368
40519,52928
27792,63582
54200,54122
10553,35329
50579,49547
21387,47896
29238,47896
23695,32568
54086,54143
81533,87989
46994,55443
14344,39168
22435,33267
19673,34654
28126,68303
28783,54810
13830,40137
14280,54810
13881,54810
33472,39813
13395,39584
62966,42509
58843,32641
26310,52131
52581,40664
11788,39435
11098,35654
28901,31588
64310,75537
49447,49351
76900,67753
14142,41360
52096,56996
29433,51892
16574,37722
26345,66111
46640,48466
38952,54311
17575,37791
24177,30855
8388,34127
62943,62860
34050,58636
15897,45388
15070,45388
15418,45388
16159,45388
16391,45388
15357,45388
29345,45388
15225,45388
83800,71830
26365,67492
48278,50417
11495,39612
13569,41855
26223,30389
34459,30389
9915,38837
42796,48150
48017,48909
52360,57180
11796,41495
26491,65409
16692,55076
16559,55076
37218,55076
19807,75103
46890,53217
48975,49555
43932,51509
12790,35006
44615,48440
9278,38158
17668,40004
46641,49737
24568,50968
84230,58343
45660,51748
52484,80928
22942,60409
18404,60409
22206,60409
18369,60409
20875,60409
29320,60409
10263,52581
10876,52581
10397,52581
10267,52581
28529,52581
10960,52581
22939,29342
15377,71660
66399,55624
47865,53313
14019,37275
25499,47765
31120,34726
33032,41478
45336,42187
22190,39596
10381,37558
11165,34661
25129,34104
42955,50030
15715,35463
16522,36612
45150,35942
26190,50632
49537,56878
45817,59764
13539,37988
23450,38298
41751,48491
56353,54947
73075,59629
23255,49500
17116,49500
62293,64873
20028,41544
30407,40006
43617,59841
41972,54951
18742,40118
14477,34117
25913,48351
18630,38469
17559,44962
18166,38658
15366,37224
28287,42051
21012,33261
22189,36545
37463,49944
19274,45379
14956,37566
18065,38337
20993,44358
38029,49203
14356,44933
25915,57413
12096,41307
46950,48434
11439,38146
46144,54655
28833,63126
16778,45634
47367,46885
21023,43166
17151,37555
21258,41913
22868,35390
17393,45079
32625,40391
22973,45744
12522,39746
63093,61408
16367,38248
18425,38375
17222,38940
15427,40968
10725,42886
20922,39477
24602,50112
27333,31115
55456,59761
17149,38075
76690,62205
63825,78638
17864,41363
14032,41125
41851,47939
45535,53623
26675,72273
29926,64010
32636,61324
67040,34883
69330,60583
17271,44592
22449,57906
69183,82804
83310,62927
15685,36845
25950,49175
16303,38349
13643,36738
17613,36676
32975,55204
50556,48917
62112,56911
23975,51815
39685,40457
44381,58700
13905,39449
70614,62069
59409,61295
54650,55055
41062,38818
11329,45090
61240,58336
79380,75217
79956,93807
12901,47324
11152,38891
49764,59038
46864,51051
80514,114862
56240,59460
28251,45370
56981,52410
57980,52015
24881,37837
12957,45391
58661,55838
80329,70204
32224,30814
75167,84648
63042,74742
24369,56148
53293,51655
49318,62399
25406,41951
83184,76124
51236,58845
43064,50004
80400,71517
53359,67145
42113,46827
16636,42007
84605,79966
20826,21632
38965,62235
45416,75701
26405,51019
28667,70472
24902,55194
69241,56918
31742,44976
56991,59498
28876,53775
45623,52341
45046,67416
28849,41000
78854,91410
40813,44096
28997,37442
63990,62621
15075,42436
77515,105584
27358,43167
25446,67327
14995,40437
61526,56210
27178,46825
52673,55817
23551,34583
57948,47452
53939,54064
25145,34857
27086,55246
51023,64313
14571,46108
68583,37839
64260,61860
38533,46165
73782,69107
56670,57817
16211,41566
22163,35703
32038,63435
27036,63435
26545,63435
24604,63435
27126,63435
26918,63435
31725,63435
27587,63435
31853,63435
32029,63435
30201,63435
28775,63435
26727,63435
29977,63435
39160,63435
26295,63435
28851,63435
27516,63435
29057,63435
26812,63435
18260,50660
22653,31736
64035,29881
41394,33301
85738,111371
70834,38252
45473,44172
19070,40852
29488,66125
28514,66125
28501,66125
36707,66125
24265,66125
35447,66642
33969,40770
50133,45856
14368,39082
22775,74572
35489,36689
51075,62105
28485,47880
36860,48555
57515,62101
65513,86881
55082,59982
67795,74652
54634,51748
26534,68801
15122,28311
29480,56351
24781,53032
44853,55225
32080,35539
72563,61723
80014,80257
17066,54681
39799,63727
51346,49714
62110,77449
27803,51953
27387,53788
27266,45538
75378,73721
43134,39016
51175,50798
80866,100423
65117,67918
42526,58537
27559,61258
25326,56487
51808,53861
10592,37439
68305,70920
56956,63454
38932,43326
35806,61012
84986,93487
67926,90008
58330,43418
48445,48684
76667,87054
18490,56318
11358,42659
32584,69743
78857,68140
60180,70266
67612,72975
34411,42210
12798,39225
24804,30497
47724,42101
43989,45898
15086,35090
29921,31902
34770,44354
38739,47756
30731,56416
15290,32141
31943,72085
33538,40304
34494,71513
23222,30180
44355,40117
40183,38951
37840,41338
35669,40867
25892,25351
54484,53459
10497,32748
22944,43888
73760,68635
13925,39473
12391,35507
26069,42396
40944,44999
12709,38701
29585,30614
44240,48040
40599,43035
14964,35761
20438,35768
57271,60194
20922,45603
23796,48088
32840,62177
18467,39426
20402,31360
18335,42437
19480,33699
26050,47258
29957,38262
24565,48587
32965,42895
15031,37097
13295,32603
16879,40101
11453,38253
25793,35339
14074,29935
30275,47185
69601,68964
15399,37257
53169,59217
21343,46674
24447,50970
42473,53728
18239,45473
16241,50743
45209,48179
29232,37325
22223,47618
9841,22517
24865,72257
22761,55070
15533,20948
32728,54521
9887,31546
20880,46709
23544,51926
20885,40240
27241,41216
26790,44301
21438,72529
60480,55930
32270,47482
29541,54434
46345,48382
13214,37598
45919,57478
14003,36671
12668,40256
41657,57687
53549,55541
13028,36132
25947,44859
34726,25954
37653,45454
35131,42198
36972,47485
15304,35224
29705,46902
30424,40596
47469,59831
30181,36642
23608,31670
19270,35594
34299,43222
39096,49956
25827,38924
53162,49279
25164,48458
22754,48541
18272,40397
13214,38519
68055,66651
11021,39407
12649,34071
68704,64911
13280,38440
37875,53723
36828,45989
23563,51151
32658,60249
21628,44213
23828,42730
25338,48501
38726,49378
14129,34553
43172,44367
55790,53990
84412,91565
16077,41150
12827,37085
21697,32194
56121,55736
11329,45762
11411,41302
15213,37301
21625,50116
32374,44644
59654,61296
11156,43177
70130,65793
11044,35086
19233,46318
34438,31349
